Lib_Name,popularity,Mean_cosine,Std_Cosine_Similarity,Median_Cosine_Similarity,Temp
fined,top,0.1466560228,0.07962364513220248,0.12806657,0
first-chunk-stream,top,0.6151126440000001,0.012558074381664988,0.6145992,0
firstline,middle,0.596220648,0.03400621690289174,0.6142562,0
fist-fistlabs_unit_serial,bottom,0.509371534,0.014752390546544628,0.5069801,0
flagged-respawn,top,0.623132654,0.016534683978740822,0.61699325,0
flickity,middle,0.695079868,0.012335003330365168,0.6985125,0
flow-view,bottom,0.5147417919999999,0.026559423502989878,0.5078619,0
flush-write-stream,top,0.669394566,0.014488518456342607,0.6694733,0
fluxer,bottom,0.49805795,0.015948212286883444,0.5038063,0
fluxxor-autobind,bottom,0.73249771,0.025311399533866165,0.7347503,0
fn-args,middle,0.5286328100000001,0.011215853284993528,0.52518225,0
fontpath,bottom,0.6249228920000001,0.011661880261575313,0.6227697,0
for-in,top,0.461520508,0.033041552618436706,0.4398225,0
for-own,top,0.473360894,0.02677129247074803,0.46536195,0
format-url,bottom,0.682080196,0.012729767544550043,0.68415284,0
forwarded,top,0.532030648,0.02697156172321357,0.53593946,0
framework,middle,0.342567478,0.011159783090079294,0.34659854,0
fredApi,bottom,0.7244113999999999,0.007290208053272555,0.7227831,0
freeloader-stream,bottom,0.6058927080000001,0.011560907460849262,0.6031496,0
friendly-errors-webpack-plugin,top,0.739515752,0.009377248004746387,0.7441207,0
from2,top,0.54093276,0.009944456916893453,0.5443457,0
from2-string,middle,0.56251378,0.03213466575844536,0.5574514,0
frozen-express,bottom,0.6660142760000001,0.006742515865916024,0.6662694,0
fruit,bottom,0.420860042,0.03958545081288857,0.4147762,0
fs-temp,middle,0.639605638,0.054549634229554785,0.61626834,0
fs-write-stream-atomic,top,0.769990484,0.0073308767233858,0.7740144,0
fsm2dot,bottom,0.52864906,0.0044002215782844075,0.5262314,0
ftp-generate-response,bottom,0.587352782,0.02286348828420808,0.5815505,0
fuzzy-search,middle,0.665417222,0.01980770450466226,0.6511433,0
fxos-simulators,bottom,0.5936846219999999,0.006304186296661927,0.5921438,0
ga-localstorage,bottom,0.712546814,0.009182871758414188,0.7146822,0
gaffa-frame,bottom,0.659756158,0.015169250461831285,0.65234554,0
gardr-plugin-ext-burt,bottom,0.636533618,0.009005353582071081,0.6323051,0
garnish,middle,0.235241962,0.017513762244939553,0.23552293,0
gcr,bottom,0.190175032,0.031731745460022685,0.18147357,0
gearsloth,bottom,0.37574478,0.029137724374416224,0.36608905,0
gedcomx-date-js,bottom,0.887479428,0.006911507997736077,0.8861355,0
generate-function,top,0.5971798039999999,0.021913527986800286,0.5993517,0
generator-appsngen-web-widget,bottom,0.757727802,0.006767243369276735,0.75701886,0
generator-bangular,bottom,0.5179484679999999,0.060043528488614516,0.47798833,0
generator-lib-java,bottom,0.56272744,0.022405410677012814,0.5540501,0
generator-meshblu-connector,bottom,0.772785608,0.006887654282142812,0.7762445,0
generator-npm-module,bottom,0.81574154,0.018265379527072474,0.8206898,0
generator-react-gulp-browserify,bottom,0.766789682,0.007616727347366443,0.7670368,0
generator-readme,bottom,0.612480744,0.08869225914351218,0.5823195,0
generator-utils,bottom,0.7256394580000001,0.017061037069839014,0.7196624,0
generator-videojs-plugin,bottom,0.8766710520000001,0.007207447301775422,0.87925684,0
geo-tree,bottom,0.49646296,0.007537400227624898,0.4994076,0
geohash-poly,bottom,0.655509028,0.005834104930228805,0.6572019,0
geojson-summary,bottom,0.787405498,0.015818664346351107,0.78568655,0
geojson-vt,middle,0.6856436419999999,0.014018364202478076,0.6904223,0
get-stdin,top,0.635462542,0.010395905069382832,0.63776386,0
get-stream,top,0.566178552,0.02169660515671796,0.5629662,0
get-value,top,0.578293522,0.019558992564327565,0.5715002,0
getpackages,bottom,0.31032817,0.014058214891948398,0.30341023,0
ghost-export,bottom,0.5454328399999999,0.014105390912759183,0.53931785,0
ghost-render,bottom,0.458414052,0.017888935845586793,0.4539108,0
ghpages,middle,0.46013882200000006,0.05372639787346736,0.44690722,0
ghusers,bottom,0.5544545380000001,0.034322115733390036,0.54683864,0
giphy-api,middle,0.7321046379999999,0.0074325337285962075,0.7307444,0
git-clone,middle,0.696103632,0.01247651744747383,0.6952444,0
git-latest-semver-tag,middle,0.748469238,0.016642938247183683,0.74961716,0
git-repository,middle,0.6043901079999999,0.014236233274301194,0.606151,0
gitbook,middle,0.71135918,0.009411355113104052,0.7098116,0
gitbook-grvis,bottom,0.6643726080000001,0.016783655653823504,0.66174144,0
gitbook-plugin-comments,bottom,0.746771832,0.008963346284626122,0.742979,0
gitbook-plugin-lexicon,bottom,0.8062626959999999,0.00358732798838912,0.80709314,0
gitbook-plugin-piwik,bottom,0.8473974460000001,0.008801794239845605,0.8481394,0
github-changes,middle,0.494342422,0.01496938443775731,0.49736747,0
github-jobs,bottom,0.66163564,0.00847922875755814,0.66206,0
github-language,bottom,0.445449378,0.025369435389371007,0.44208682,0
github-todos,bottom,0.70254796,0.006887432209684514,0.7023008,0
gitignoreensure,bottom,0.51481348,0.0367438167312515,0.50222194,0
gl-mat4,middle,0.6669487000000001,0.01638453571054116,0.661088,0
gl-vec3,middle,0.6095847360000001,0.012860494584294965,0.61162364,0
glob-parent,top,0.6244789799999999,0.027244574443515388,0.6237506,0
global-modules,top,0.698740278,0.03543711965358528,0.7210133,0
global-prefix,top,0.468546974,0.05510497378347963,0.46131352,0
globby,top,0.571865462,0.022656880488203173,0.5634794,0
globo,middle,0.11433955300000001,0.02588036313974207,0.10993362,0
globstar,middle,0.417283588,0.045555200509115525,0.42307198,0
glogg,top,0.573824176,0.01468401446400401,0.5802673,0
glry,bottom,0.374070652,0.03065849721346628,0.36868224,0
glue,middle,0.15818600700000002,0.02751347157159143,0.15948357,0
gnar,bottom,0.231641716,0.030006950876613238,0.21648034,0
gocd-api,bottom,0.6600404400000001,0.018179094905220097,0.6528853,0
goodscloud-node,bottom,0.8188773680000001,0.013121070239965945,0.8149395,0
google-cloud-storage,bottom,0.640600284,0.01701982403637095,0.63693875,0
google-fonts-downloader,bottom,0.8180700160000001,0.010284188342717179,0.81288874,0
google-libphonenumber,middle,0.8067727400000001,0.007138385382549792,0.80361426,0
google-maps-react,middle,0.7656088280000001,0.008176730858045898,0.7638285,0
google-maps-services-js,middle,0.855927386,0.006503160841489322,0.8528747,0
googlefonts,bottom,0.6769446880000001,0.008649159315662978,0.6757496,0
got,top,0.69955897,0.028639641702839082,0.6956911,0
governor,bottom,0.0564535312,0.007637525116264082,0.060051564,0
gp-js-client,middle,0.41653810599999996,0.021981286733450785,0.41844922,0
grunt-api-meta,bottom,0.650860866,0.022335001823108967,0.65354323,0
grunt-blogbuilder,bottom,0.712457506,0.010292195463392615,0.7118863,0
grunt-caveman,bottom,0.709689548,0.026817740372827272,0.71473473,0
grunt-check-pages,middle,0.761668374,0.013260125412317188,0.7558695,0
