Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
accessory,middle,5,0.1065,0.0121,0.1097
cool-ascii-faces,middle,5,0.1049,0.0018,0.1037
vuvuzela,middle,5,0.1025,0.0181,0.1011
gracenode-session,bottom,5,0.1007,0.0002,0.1005
es-tar,bottom,5,0.0981,0.0024,0.0982
minimalistic-assert,top,5,0.0981,0.0083,0.0968
caber,bottom,5,0.0922,0.0184,0.0917
react-native-communications,middle,5,0.0913,0.0037,0.0929
governor,bottom,5,0.0904,0.0049,0.0891
grabetha,bottom,5,0.0846,0.0112,0.0867
globo,middle,5,0.0829,0.027,0.0892
collect-callbacks,bottom,5,0.0803,0.002,0.0794
cluster-advisor,bottom,5,0.0793,0.0058,0.0796
browserify-transform-dna,bottom,5,0.0723,0.0096,0.0727
531.js,bottom,5,0.0722,0.0142,0.0711
harmony,bottom,5,0.0706,0.0121,0.0757
barterer,bottom,5,0.069,0.0062,0.0682
NestedObjectAssign,middle,5,0.0684,0.0051,0.072
fast-async,middle,5,0.0628,0.0071,0.0672
brim,bottom,5,0.0595,0.0067,0.0592
is-odd,top,5,0.0589,0.0076,0.0612
brorand,top,5,0.058,0.0132,0.0628
active-knex,bottom,5,0.0579,0.0123,0.059
hapi-prerender,bottom,5,0.0563,0.0066,0.0546
wide-align,top,5,0.0562,0.0125,0.0542
wbuf,top,5,0.0546,0.0308,0.0467
vizion,middle,5,0.0529,0.0142,0.0478
npm-git-info,middle,5,0.0506,0.0155,0.0453
epinfer,bottom,5,0.0475,0.0077,0.0458
gulp-clang-format,middle,5,0.0432,0.0105,0.0437
gryd,bottom,5,0.0424,0.0056,0.0454
consolation,bottom,5,0.0417,0.0323,0.0222
EVP_BytesToKey,top,5,0.0414,0.0174,0.0388
geojson-segment,bottom,5,0.0414,0.0105,0.0445
charabanc,bottom,5,0.0398,0.0092,0.0435
babel-preset-flow-vue,middle,5,0.038,0.0057,0.0392
offset-buffer,top,5,0.0355,0.0086,0.0379
gulp-combine-media-queries,middle,5,0.0346,0.0025,0.0351
foreach-async,bottom,5,0.0342,0.0075,0.0325
isansi,bottom,5,0.0276,0.0092,0.0254
clap,top,5,0.0238,0.0088,0.0261
